id;type;sex;familyStatus;age;Year_employment;group;SIR;age0;entrance;spouses_number;children_number;year_0;year_1;year_2;year_3;year_4;year_5;year_6;year_7;year_8;year_9;year_10;year_11;year_12;year_13;year_14;year_15;year_16;year_17;year_18;year_19;year_20;year_21;year_22;year_23;year_24;year_25;year_26;year_27;year_28;year_29;year_30;year_31;year_32;year_33;year_34;year_35;year_36;year_37;year_38;year_39;year_40;year_41;year_42;year_43;year_44;year_45;year_46;year_47;year_48;year_49
id11;active;female;married;92;1999;2;4373,682095;43;0;0,0;1,9024031920055589;1;0,9883999052893822;0,9767905557042558;0,9748936790957194;0,9728959047952397;0,9708174123412052;0,968567393810867;0,9661155798966419;0,9634518808293356;0,9605662068397538;0,9574383783895078;0,9540885750169862;0,9506076046449382;0,9469046593506147;0,9428586619036836;0,9384897918425334;0,933757690090387;0,9287632543391877;0,9234459459737694;0,9177048673021888;0,9115400183244458;0,9049211297329574;0,8977674833741688;0,8901799769400236;0,8819366355082461;0,8728962023101157;0,8628972410385227;0,8519801107702446;0,8399833751981718;0,826715328707612;0,8120649838374273;0,7958809940497027;0,7779615639605512;0,758104898186086;0,7363614455722788;0,7123074358129673;0,685720893985876;0,6562688577075915;0,6240724042084459;0,5890306357964958;0,5510426547797979;0,5107945654635674;0,468720227923161;0,4250819761576315;0,3807677098560811;0,3363929049393647;0,29240151125203323;0,24961080009882852;0,20889858139965828;0,17111239576684723
id12;active;male;married;70;2017;3;4104,399765;21;0;0,5248124270237373;1,4060601372541521;1;0,9795537476093622;0,959535063699746;0,9399157816297824;0,9206601226677997;0,9017895768850568;0,8832786970967884;0,8651299673679552;0,847362484307094;0,8299343382462072;0,8211254978098707;0,8123933029752121;0,8037372670919738;0,7951244865814918;0,7865313783228132;0,7779591322452697;0,7694639506936611;0,7610063819116399;0,7525870681114517;0,7441913693078251;0,7358354493796967;0,7274974463848777;0,7191563750484664;0,7108140929861595;0,7024651552218496;0,7011010043161404;0,6996642921920424;0,6981695310932334;0,6965514159231635;0,694788178316316;0,692872562150852;0,6907973113049327;0,6885479135348803;0,6861388810843726;0,6836355190499595;0,680972522335091;0,6780628174777006;0,674920916721466;0,6715177955790319;0,6679260152687869;0,6641020390596978;0,6599733057333758;0,6555398152898209;0,6507797993635164;0,6456352089797514;0,6401786053569145;0,6342503538145506;0,6277488686469154;0,6205580519045866;0,6127069280749198
id13;active;male;married;82;2017;3;4467,1645530000005;33;0;0,6821897955664148;1,765849144204886;1;0,9892840846591024;0,9785926452913977;0,9679271623922919;0,9573575622263756;0,946834759404725;0,9363595529598996;0,9259137280026928;0,9155173954320243;0,9051433548889163;0,8947654967530226;0,8843861322468946;0,8739984867983794;0,8723012270574633;0,8705136875430941;0,8686539242099626;0,8666406852619609;0,8644468867670533;0,8620635007478944;0,859481499227139;0,8566828262500964;0,8536855377714572;0,8505708855873291;0,8472576179016045;0,8436373989861397;0,8397282847956252;0,8354941634206801;0,8310253146347572;0,8262675705737846;0,8211306514643096;0,815614557306332;0,809692204167816;0,8032913682299991;0,7965023292663345;0,7891264717752253;0,7810374040738376;0,7720906785246465;0,7623224070370331;0,7515881419734728;0,7397163517644049;0,726607728659031;0,7121268529971717;0,696093165231921;0,678326105816373;0,658870814637254;0,6373481166460616;0,6135593963411993;0,5872067304702719;0,5583984547614234;0,5270442894412005
id14;active;male;married;78;2017;3;8732,326542;29;0;0,013321321071909205;1,6527048072531678;1;0,9794324785630105;0,9690368797496647;0,958731732901207;0,9485164637058561;0,9383522415813366;0,9282112353203555;0,9180948491971804;0,9080694094250206;0,8980883577043546;0,88815245193072;0,8782444149818197;0,8683833223763792;0,8585433741260892;0,8486998048261903;0,8388548067093237;0,829001953982268;0,8273920751748238;0,8256965645159199;0,8239325483758482;0,8220229580882947;0,8199421040978218;0,8176814232192833;0,8152323522675332;0,8125777648722796;0,8097347874038144;0,8067804885284515;0,8036377995798771;0,8002039623363394;0,7964961031681302;0,7924799693346658;0,788241192687406;0,7837283941154748;0,7788559417674125;0,773623835643219;0,7680063861874565;0,7619350879189571;0,7554955726891807;0,7484994504249155;0,740826836534118;0,7323407200544524;0,7230753537265027;0,7128937265879332;0,7016331381209703;0,6891993932890081;0,6754640443148572;0,6602558274955977;0,6434034791283103;0,6249498151387246;0,6045351817507096
id15;active;female;married;81;2006;4;9499,177384;32;0;0,4208704499394795;1,7575121235940445;1;0,9893450181684937;0,9787432807108614;0,9681657584353721;0,9576139160627806;0,9471569347945984;0,936746252245829;0,9263826589353544;0,9160481340532817;0,9057625742172679;0,8954990688876661;0,8852317866416604;0,8749630140757677;0,8646860488007787;0,8630068733315653;0,8612383800182449;0,8593984324296388;0,8574066445060505;0,8552362208942481;0,8528782298098209;0,850323739468358;0,8475548863010381;0,8445895338766826;0,8415080682549878;0,8382301033762575;0,834648457827563;0,8307809951777259;0,8265919882891031;0,822170755005802;0,8174637046213581;0,8123815192916645;0,806924199016721;0,8010649484432956;0,7947323132961026;0,7880156114192491;0,7807183435556996;0,772715464723704;0,763864066372691;0,7541998756403033;0,7435799839759698;0,731834687475887;0,718865736511537;0,7045391543167591;0,6886763052033391;0,671098553483063;0,6518505580779842;0,630557184042853;0,6070219321206337;0,5809500534257729;0,5524487293711992
id16;active;male;married;76;2017;3;294,4850252;27;0;0,6736291534517268;1,5872576968859424;1;0,9794529973512487;0,959337621401098;0,9396064243076204;0,9296335352689853;0,9197474202031968;0,9099475281513569;0,9001966074750279;0,8904679586500047;0,8807629288494229;0,8711451473048991;0,8615699488881141;0,8520380606767701;0,842532908077458;0,8330727909529385;0,8236329584037955;0,8141896520455336;0,8047449749694005;0,7952927626702114;0,7937483453643339;0,7921217782017608;0,7904294911538312;0,7885975493495191;0,7866013078318157;0,7844325516150517;0,7820830657135572;0,7795364201559933;0,776809044913699;0,7739748748577003;0,7709599751169715;0,7676657658634775;0,7641086770685575;0,7602558487895332;0,7561894308831005;0,7518601334352418;0,7471858065892616;0,7421664503451597;0,7367774197459276;0,7309529949062088;0,7247753256826989;0,7180636823906674;0,7107030552307407;0,7025620044322057;0,6936733899377405;0,6839057719766324;0,6731030658211595;0,6611749066289568;0,6479980696149809;0,6334082550658403;0,617241163268144
id17;active;male;married;83;2003;3;6968,130512999999;34;0;0,009129127267110574;1,7316752400558435;1;0,9891927510676682;0,9784117397641446;0,9677276497946202;0,9570908640777281;0,9465021903011405;0,9359432162721523;0,9254342707307398;0,9149478586839082;0,904457587692164;0,893965794013198;0,8834656296927595;0,8817499852512531;0,8799430831266879;0,8780631748556755;0,8760281285234631;0,873810566825133;0,8714013639923793;0,8687913942568961;0,8659624060820716;0,8629326510045177;0,8597842609389872;0,8564351039707273;0,8527756708800673;0,8488242132036189;0,8445442278681586;0,8400269725567454;0,8352176926595438;0,830025130493495;0,8244492860585991;0,8184627820499384;0,8119926123210657;0,80513003455504;0,7976742818491316;0,7894975934470584;0,780453957055926;0,770579875748958;0,7597293372332603;0,7477289519110211;0,7344783363308756;0,7198406039682355;0,7036332394569831;0,6856737274310007;0,6660076967318178;0,6442518650905872;0,6202054656045793;0,5935673479197;0,5644470212556199;0,53275322792928;0,4983947102576217
id18;active;male;married;82;2017;3;9029,239572;33;0;0,345649494534341;1,7204993462893605;1;0,9892840846591024;0,9785926452913977;0,9679271623922919;0,9573575622263756;0,946834759404725;0,9363595529598996;0,9259137280026928;0,9155173954320243;0,9051433548889163;0,8947654967530226;0,8843861322468946;0,8739984867983794;0,8723012270574633;0,8705136875430941;0,8686539242099626;0,8666406852619609;0,8644468867670533;0,8620635007478944;0,859481499227139;0,8566828262500964;0,8536855377714572;0,8505708855873291;0,8472576179016045;0,8436373989861397;0,8397282847956252;0,8354941634206801;0,8310253146347572;0,8262675705737846;0,8211306514643096;0,815614557306332;0,809692204167816;0,8032913682299991;0,7965023292663345;0,7891264717752253;0,7810374040738376;0,7720906785246465;0,7623224070370331;0,7515881419734728;0,7397163517644049;0,726607728659031;0,7121268529971717;0,696093165231921;0,678326105816373;0,658870814637254;0,6373481166460616;0,6135593963411993;0,5872067304702719;0,5583984547614234;0,5270442894412005
id19;active;female;married;86;2007;4;6870,173446;37;0;0,5188390385440202;1,7707663295503364;1;0,989008492503909;0,9780667014133735;0,9671556005150689;0,9562961964837355;0,9454600774071987;0,9346199706953873;0,923778290516886;0,9129279605478428;0,9111551017875598;0,9092879420293895;0,9073453414729092;0,9052424292200204;0,9029509149713568;0,9004613686271297;0,8977643600875503;0,8948410291530412;0,8917102360231798;0,8884568515960648;0,8849960049735975;0,8812145349583131;0,877131301749789;0,8727085849488703;0,8680406855534444;0,8630710229647788;0,8577052961849861;0,8519435052140665;0,8457573597526535;0,8390714190024374;0,8319799839613056;0,8242755924339057;0,8158262230231954;0,8064809941325549;0,7962776261611391;0,7850652375123282;0,7726646562901361;0,7589721513968868;0,7438462713357491;0,7270984141109482;0,7085399777267095;0,6882181126819765;0,6657367547856222;0,6408884418422944;0,6133619805589646;0,5832705321330978;0,5505197955668065;0,5150154698622034;0,47739880180492267;0,43807528568588017;0,39729010409958304
id20;active;female;married;74;2017;4;1812,5678;25;0;0,564376884825746;1,6490081287364724;1;0,9795032441200324;0,9593971492295215;0,9396844134630981;0,9203857791208434;0,9014557248784753;0,8918877635652263;0,8824030529541537;0,8730010644568614;0,8636460589576282;0,8543124210090459;0,8450014430851801;0,8357741708894516;0,826587752825081;0,8174428864483431;0,8083236701415714;0,7992476607409301;0,7901911123040782;0,7811312311046609;0,7720700348424252;0,7630016093086711;0,7615198997481916;0,7599593758493886;0,7583358004799269;0,7565782407353154;0,7546630523140572;0,7525823537823199;0,7503282637062711;0,7478850192182463;0,74526838318591;0,7425492885137533;0,7396568022972853;0,7364963473305176;0,7330836864811151;0,7293872940137484;0,7254859842667409;0,7213324686370987;0,7168479327864982;0,7120323767149395;0,7068621561209255;0,7012742195337976;0,6953473812918792;0,6889082498508589;0,6818464851370838;0,6740359842092365;0,6655082728026465;0,6561372479759962;0,6457731624864713;0,6343293205619162;0,6216875006948456
