id;type;sex;familyStatus;age;Year_employment;group;SIR;age0;entrance;year_0;year_1;year_2;year_3;year_4;year_5;year_6;year_7;year_8;year_9;year_10;year_11;year_12;year_13;year_14;year_15;year_16;year_17;year_18;year_19;year_20;year_21;year_22;year_23;year_24;year_25;year_26;year_27;year_28;year_29;year_30;year_31;year_32;year_33;year_34;year_35;year_36;year_37;year_38;year_39;year_40;year_41;year_42;year_43;year_44;year_45;year_46;year_47;year_48;year_49;year_50;year_51;year_52;year_53;year_54;year_55;year_56;year_57;year_58;year_59
id11;active;female;married;102;1999;2;4373,682095;43;0;26113,0;26983,272487131708;27878,444033480715;28798,156234707956;29745,01238188634;30720,316491827256;31721,83654815222;32748,990243442106;33801,75166762681;34880,02853699478;35983,27678315735;37112,38993231144;38271,180743276935;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id12;active;male;married;80;2017;3;4104,399765;21;0;24164,0;24998,351575240576;25861,76879451747;26754,731137012666;27677,397816700464;28631,586207671284;29617,7612486093;30637,272659006612;31692,190094083464;32782,42133189908;33908,76615647764;35073,082674962876;36276,62414429924;37519,154497984244;38800,66091266635;40122,22493596068;41487,91964975181;42896,9914549209;44350,69625838358;45849,38080836746;47395,237899906606;48988,10381619464;50627,6356725286;52314,91168119591;54050,461748709095;55833,59100414937;57669,346683452444;59560,257001991435;61501,99454767178;63493,43034841576;65534,51417002628;67625,06709372236;69764,03428489438;71953,14810362199;74199,80069038857;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id13;active;male;not married;92;2017;3;4467,1645530000005;33;0;26588,0;27498,68002668513;28437,92653479558;29406,532216282925;30407,48232966289;31440,224544230925;32505,67934401387;33604,100869028705;34737,09627087075;35904,54555760163;37106,19742087341;38342,84210809678;39614,86800034872;40921,76581021829;42267,23477687736;43653,12788945949;45076,27348479356;46535,84411241222;48031,802954478524;49564,018877165654;51131,718767118575;52736,17231221165;54382,79738788965;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id14;active;male;married;88;2017;3;8732,326542;29;0;27691,0;28643,587786351443;29627,72976091407;30645,049441808995;31696,641860270953;32782,30075357397;33902,01491733532;35056,72935204;36250,002906418005;37481,177124454196;38751,34935279129;40060,82256213415;41411,51270360853;42803,276729918805;44235,81504610855;45710,069738425605;47226,503811830946;48784,5101239796;50388,498689133114;52040,67853139773;53737,26858143257;55477,28240170485;57260,67610016587;59087,293346819184;60956,212481625276;62868,94715141078;64831,956227005314;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id15;active;female;not married;91;2006;4;9499,177384;32;0;21279,0;22009,194125316804;22763,04298545528;23540,538800429276;24342,33775013365;25170,91099201486;26025,801314033717;26907,7706806718;27817,029465667973;28754,908047819044;29721,307099388272;30716,018590654912;31739,696677955224;32792,662857998934;33874,49554941502;34988,2569333773;36135,48088973954;37313,54195775132;38521,75518487895;39760,09009380484;41028,43813368458;42326,159331526156;43654,30471812936;45017,359139003886;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id16;active;male;married;86;2017;3;294,4850252;27;0;18943,0;19595,061595238334;20269,76826212387;20967,061017122727;21687,451388052392;22432,12778761319;23201,89177693933;23996,592372041203;24816,221371328356;25661,470513663167;26534,9448706948;27436,162453660207;28365,92651856861;29324,45883949741;30313,16188964442;31331,930958615194;32380,546743374838;33459,69884956874;34569,72619609702;35710,18435572216;36884,30145191798;38093,6944868411;39335,59572370618;40609,28309179733;41914,72446220422;43251,80540161636;44619,85125634058;46019,970013463186;47456,88955622969;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id17;active;male;married;93;2003;3;6968,130512999999;34;0;22571,0;23341,9363836369;24136,970865860603;24958,553755918423;25806,23169909223;26680,76023146411;27582,347951931086;28512,314015398875;29470,5599321204;30456,87942744117;31471,921138833568;32516,00385066399;33588,7095382803;34693,074548418685;35830,6198201821;36998,74204281657;38196,762042467875;39424,64959894376;40682,29707720129;41969,069903452946;43286,01024135836;44637,565099521074;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id18;active;male;married;92;2017;3;9029,239572;33;0;21297,0;22026,45511239331;22778,791989301244;23554,64557733479;24356,407069912388;25183,6340498904;26037,063825389774;26916,899962678817;27824,429790910726;28759,557196488713;29722,08088131266;30712,63383391519;31731,527147714256;32778,35288326384;33856,07413281019;34966,17514148559;36106,11540565851;37275,23213713115;38473,49584479951;39700,80149040909;40956,52980981362;42241,69782357347;43560,6452523652;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id19;active;female;married;96;2007;4;6870,173446;37;0;19858,0;20532,445673421837;21228,254724125454;21945,593121539117;22685,510436818822;23447,92830767577;24232,682613939818;25040,28943691331;25871,002413886665;26724,488948122787;27603,16487565434;28508,240315024363;29437,643970537632;30390,835464954027;31367,790753908466;32368,424198757642;33392,2309078161;34440,04006718794;35515,38989057387;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id20;active;female;not married;84;2017;4;1812,5678;25;0;27652,0;28605,3127919708;29590,582881760944;30609,158750309387;31663,108153643232;32752,338954448016;33877,65020283617;35040,898300882676;36243,33535549653;37484,725516798695;38765,055973204806;40085,40727986139;41449,848781040586;42857,6275691543;44309,99839865094;45807,30769956898;47351,74625475163;48943,15049762521;50581,17785813057;52266,90555914718;54000,863020925484;55782,35601018631;57616,427131332624;59505,60227975247;61445,558014346665;63435,16639902454;65474,37724568581;67563,01179973203;69700,01619450934;71887,1212004189;74131,71217463915;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
