id;salary
new_employee_year_10_key_male_groupe_11_year_10;696289,6127010054
new_employee_year_10_key_male_groupe_8_year_10;406583,39884505136
new_employee_year_10_key_male_groupe_10_year_10;491132,8518158877
new_employee_year_10_key_male_groupe_9_year_10;478699,1087319412
new_employee_year_10_key_male_groupe_1_year_10;62168,71541973262
new_employee_year_11_key_male_groupe_5_year_11;209259,89610282
new_employee_year_11_key_male_groupe_2_year_11;63412,08972812728
new_employee_year_11_key_male_groupe_6_year_11;209259,89610282
new_employee_year_11_key_male_groupe_3_year_11;92581,65100306582
new_employee_year_11_key_male_groupe_7_year_11;393154,9563143891
new_employee_year_11_key_male_groupe_4_year_11;130628,90483994219
new_employee_year_11_key_male_groupe_11_year_11;710215,4049550255
new_employee_year_11_key_male_groupe_8_year_11;414715,06682195235
new_employee_year_11_key_male_groupe_10_year_11;500955,5088522055
new_employee_year_11_key_male_groupe_9_year_11;488273,09090658004
new_employee_year_11_key_male_groupe_1_year_11;63412,08972812728
new_employee_year_12_key_male_groupe_5_year_12;213445,09402487642
new_employee_year_12_key_male_groupe_2_year_12;64680,33152268983
new_employee_year_12_key_male_groupe_6_year_12;213445,09402487642
new_employee_year_12_key_male_groupe_3_year_12;94433,28402312714
new_employee_year_12_key_male_groupe_7_year_12;401018,0554406769
new_employee_year_12_key_male_groupe_4_year_12;133241,48293674106
new_employee_year_12_key_male_groupe_11_year_12;724419,713054126
new_employee_year_12_key_male_groupe_8_year_12;423009,36815839144
new_employee_year_12_key_male_groupe_10_year_12;510974,61902924965
new_employee_year_12_key_male_groupe_9_year_12;498038,55272471166
new_employee_year_12_key_male_groupe_1_year_12;64680,33152268983
new_employee_year_13_key_male_groupe_5_year_13;217713,99590537394
new_employee_year_13_key_male_groupe_2_year_13;65973,93815314362
new_employee_year_13_key_male_groupe_6_year_13;217713,99590537394
new_employee_year_13_key_male_groupe_3_year_13;96321,94970358968
new_employee_year_13_key_male_groupe_7_year_13;409038,4165494904
new_employee_year_13_key_male_groupe_4_year_13;135906,31259547584
new_employee_year_13_key_male_groupe_11_year_13;738908,1073152085
new_employee_year_13_key_male_groupe_8_year_13;431469,55552155926
new_employee_year_13_key_male_groupe_10_year_13;521194,1114098346
new_employee_year_13_key_male_groupe_9_year_13;507999,32377920585
new_employee_year_13_key_male_groupe_1_year_13;65973,93815314362
new_employee_year_14_key_male_groupe_5_year_14;222068,27582348144
new_employee_year_14_key_male_groupe_2_year_14;67293,4169162065
new_employee_year_14_key_male_groupe_6_year_14;222068,27582348144
new_employee_year_14_key_male_groupe_3_year_14;98248,38869766149
new_employee_year_14_key_male_groupe_7_year_14;417219,1848804803
new_employee_year_14_key_male_groupe_4_year_14;138624,43884738538
new_employee_year_14_key_male_groupe_11_year_14;753686,2694615127
new_employee_year_14_key_male_groupe_8_year_14;440098,9466319905
